model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,run,overall_bias
llama3.2:latest,29134931,-0.5,0.2,0.1,0.0,0.8,"L'article présente une analyse objective des événements et des causes du glissement de terrain à Niscemi, mais il manque une perspective critique sur les responsabilités politiques et économiques sous-jacentes. Le ton est neutre, mais le langage utilisé pour décrire les conséquences du glissement de terrain peut être considéré comme légèrement dramatique. La source d'information est la télévision italienne RAI, qui est souvent considérée comme une source de référence pour l'actualité italienne.",1,-0.049999999999999996
llama3.2:latest,29138341,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Le sujet de la LAVI est traité de manière objective, mais les citations des responsables politiques sont limitées et ne permettent pas d'évaluer leur position politique avec précision.",1,-0.025
llama3.2:latest,29137551,-0.5,0.2,0.1,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie politique en particulier. Cependant, le contexte historique et la mention des principes d'Helsinki suggèrent que l'article peut avoir une légère tendance à la droite en raison de son contenu sur les relations internationales et la paix.",1,-0.049999999999999996
llama3.2:latest,29139880,-0.5,-0.2,-0.1,0.0,0.8,"L'article présente un ton relativement neutre, mais les citations du porte-parole du Kremlin sont plus longues et plus détaillées que celles de Roustem Oumerov, ce qui pourrait suggérer une légère préférence pour la voix russe. Cependant, le sujet lui-même semble neutre et les deux parties sont présentées équitablement.",1,-0.19999999999999998
llama3.2:latest,29130526,-0.0,-0.5,-0.2,0.0,0.8,"L'article présente un ton critique envers les législateurs qui ont mis en place la réglementation sur les pesticides, mais ne fournit pas de commentaires spécifiques sur les politiques en vigueur. L'article se concentre principalement sur les résultats des tests et les conséquences pour les producteurs agricoles.",1,-0.175
llama3.2:latest,29136599,-0.5,-1.0,-0.2,0.0,0.8,"L'article présente une vision critique de la situation en Gaza, soulignant les restrictions imposées par Israël et les conséquences pour les habitants de la bande de Gaza. Le ton est objectif, mais il y a des allusions à la situation politique et sociale dans le contexte du cessez-le-feu très précaire entre Israël et le mouvement islamiste palestinien Hamas. La source de l'article semble être un organisme de presse indépendant.",1,-0.425
llama3.2:latest,29137324,-0.5,1.0,0.8,0.0,0.9,"L'article présente une vision très positive de l'initiative climatique, en mettant en avant les bénéfices concrets et la nécessité d'un changement de cap dans l'utilisation de l'argent public. La présidente des Vert-e-s est citée pour souligner les avantages de l'initiative et critiquer les critiques des milieux économiques.",1,0.325
llama3.2:latest,29137930,-0.1,0.2,0.1,0.0,0.8,"L'article présente une approche scientifique objective, mais légèrement plus favorable à la découverte et aux résultats que à l'interprétation des données. Le ton est neutre, mais le langage utilisé pour décrire les animaux prédateurs a un léger ton positif.",1,0.05
llama3.2:latest,29125285,-0.5,0.2,0.1,0.0,0.8,"L'article présente un ton neutre et objectif, mais souligne les efforts locaux de Zurich pour réduire les émissions, ce qui pourrait être considéré comme une tendance légèrement gauche. La mention des conséquences de l'aviation sur les émissions est également plus nettement liée à la politique environnementale que à la droite.",1,-0.049999999999999996
llama3.2:latest,29137608,-1.0,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour la gauche ou la droite. Cependant, le fait que les flotteurs soient déployés par une trentaine de pays et que le programme Argo soit financé par des programmes scientifiques internationaux suggère un certain équilibre entre les contributeurs.",1,-0.25
llama3.2:latest,29134900,-1.0,-1.0,-1.0,-1.0,0.8,"L'article présente une vision très critique de la situation à Gaza, mettant en avant les souffrances et les difficultés vécues par les Palestiniens. Le ton est décripant et accusateur envers Israël, ce qui suggère un biais gauche. Les citations de Rami Abou Jamous et Leyla Salma renforcent cette impression, car ils expriment des sentiments très critiques à l'égard du plan ""Nouveau Gaza"" et de la situation à Gaza.",1,-1.0
llama3.2:latest,29133473,-0.5,0.2,-0.1,0.0,0.8,"L'article présente un ton neutre, mais les faits présentés suggèrent une légère préférence pour la commune de Crans-Montana. Le Ministère public est critiqué pour son manque d'action face aux contrôles non effectués depuis 2019.",1,-0.1
llama3.2:latest,29132722,-0.4,0.1,0.3,0.2,0.8,"L'initiative pour réduire la redevance SSR et exonérer les entreprises du financement des médias de service public a été rejetée à courte majorité, tandis que l'initiative pour un fonds climat a également été refusée. Les partisans de l'UDC soutiennent la baisse de la redevance radio-tv à 200 francs, mais les autres formations sont divisées sur cette question.",1,0.04999999999999999
llama3.2:latest,28980688,-0.1,0.2,0.3,0.5,0.8,"L'article présente une vision générale positive de la relation entre l'Irak et la Suisse, en mettant en avant les opportunités économiques et les efforts de coopération entre les deux pays. Cependant, il est important de noter que l'article ne présente pas d'opposition ou de critique significative des politiques irakiennes, ce qui pourrait suggérer une légère préférence pour la Suisse dans le traitement du sujet.",1,0.225
llama3.2:latest,29138895,-0.05,0.15,0.2,0.0,0.8,"L'article présente une vision générale du problème des absences maladies en France, sans prendre position politique spécifique. Le syndicat dénonce les problèmes structurels et demande des mesures pour améliorer la santé des travailleurs, mais n'aborde pas de questions politiques partisanes. La tonalité est critique envers certains employeurs et gouvernements, mais reste neutre sur les débats politiques actuels.",1,0.075
