title,body,description,headline,author,keywords,article_section,in_language,canonical_url,publisher_name,date_published,date_modified,date_accessed,source,article_id,lead,alternative_headline,sources,credit,word_count,title_words,lead_words,body_words,text_words_total
La tenture de Carême illustre 'La grande bouffe' – Portail catholique suisse,"La tenture de Carême de cette année s’intitule Das grosse Fressen (La grande bouffe). L’artiste allemande Konstanze Trommer espère que son image incitera à la réflexion. Jacqueline Straub , kath.ch / traduction et adaptation Maurice Page La tenture de Carême accrochée dans les églises suisses pendant le carême dans le cadre de la campagne œcuménique 2026 a été réalisée par l’artiste allemande Konstanze Trommer. Elle aborde aborde les défis mondiaux tels que le changement climatique, les conflits et les divisions sociales à travers un «pain terrestre». On y voit le globe terrestre et un pain qui se fondent l’un dans l’autre sur un fond cosmique. L’Amérique du Nord est baignée d’une lumière vive, tandis que l’Amérique du Sud disparaît dans l’obscurité et se fond dans le pain. Konstanze Trommer est une artiste allemande | DR Le titre Das grosse Fressen (La grande bouffe) a été choisi en accord avec le commanditaire. «Il nous semble approprié à la situation mondiale actuelle», a expliqué Konstanze Trommer à kath.ch. Les couverts comme menace Une fourchette et un couteau sont posés de chaque côté du pain. Les couverts sont à la fois une invitation et une menace. Car si l’on coupe le pain, on coupe aussi la planète Terre. «Mais je laisse le spectateur en juger». Même si l’artiste est consciente du fait que sa tenture de Carême ne conduira pas à un changement radical des mentalités, elle estime «qu’il ne faut pas relâcher nos efforts pour sensibiliser les gens à l’importance d’un monde où il fait bon vivre ». Elle espère que les gouttes d’eau finiront par user la pierre. Konstanze Trommer avait déjà représenté, il y a plus de vingt ans, un motif très similaire dans une peinture acrylique en trois volets. Son œuvre Abendmahl (Cène) était née de sa colère face au fait que l’on parlait beaucoup du changement climatique, mais que l’on agissait trop peu. (cath.ch/kath.ch/mp) La tenture de carême est disponible en grand format (284 x 200 cm), et en petites dimensions (120 x 85 cm) Elle est également déclinée en sets de table gratuits. Elle s’accompagne d’un livret de méditations.",La tenture de Carême de cette année s'intitule «Das grosse Fressen» (La grande bouffe). L'artiste allemande Konstanze Trommer espère que son image incitera à la réflexion.,La tenture de Carême illustre 'La grande bouffe' – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/la-tenture-de-careme-illustre-la-grande-bouffe/,Cathinfo,,,2026-02-22 14:47:49,cathinfo,cathinfo_014119745235,nan,nan,['nan'],['nan'],,12,1,352,365
Le Grison Markus Cott est le nouveau directeur de Missio Suisse – Portail catholique suisse,"Le Dicastère pour l’évangélisation au Vatican a nommé le théologien Markus Cott (56 ans) nouveau directeur national des Œuvres pontificales missionnaires (Missio) en Suisse, annonce l’organisation le 18 février 2026. De fait, le Grison occupe ce poste depuis octobre 2025 déjà. À son actif, une longue expérience d’accompagnement de projets à l’étranger et son ancrage ecclésial. Originaire des Grisons, de la région romanche du Surses, Markus Cott a été pendant douze ans délégué à l’intégration du canton de Schwyz. «À ce titre, il a conçu et dirigé des programmes de soutien destinés aux personnes réfugiées, ainsi qu’aux personnes issues de la migration», précise le communiqué de Missio. Markus Cott a également travaillé treize ans pour le Comité international de la Croix-Rouge (CICR). Ses missions l’ont notamment mené en Afghanistan, au Rwanda, au Népal, au Liberia, en Éthiopie et en Iran. De 1995 à 1998, il a travaillé en paroisse (St. Marien) à Wädenswil. Il a achevé ses études de théologie à Coire, après une année intermédiaire à l’Université pontificale grégorienne à Rome. Puis il a suivi deux années d’études en sciences des religions à l’Institut catholique de Paris. En 2005, il a obtenu à la London School of Economics (LSE) un master en Social Policy for Developing Countries. Un engagement de longue date auprès des défavorisés Suite à l’annonce de sa nomination par le Vatican, le Conseil de fondation de Missio Suisse a exprimé sa satisfaction: «Nous sommes convaincus que Markus Cott, grâce à son expérience internationale, à son ancrage ecclésial et à son engagement de longue date en faveur des personnes défavorisées, apportera une contribution significative au travail de Missio en Suisse.» De son côté, Markus Cott a déclaré que cet engagement était pour lui «une occasion de promouvoir la dimension universelle de l’Église et, avec les paroisses et les responsables pastoraux en Suisse, de rendre perceptible aussi la dimension universelle de la foi». La mission à travers la musique La nouvelle de sa nomination lui est parvenue alors qu’il se trouve en Bolivie, dans le cadre des préparatifs du Mois de la mission universelle d’octobre 2026. Il y a visité des projets de l’Église locale ainsi que des lieux marquants liés à l’action du missionnaire suisse Martin Schmid sj (1694–1772), qui passa par la musique notamment. «Le Père Schmid incarne une mission qui rejoint les personnes non par des concepts d’abord, mais par ce qui touche le cœur: la musique, la beauté et la création partagée. Là où la foi peut ›résonner’, elle devient expérience – relation, espérance et dignité», souligne Missio Suisse. Qui indique encore vouloir suivre cette piste lors du prochain Mois de la mission universelle. (cath.ch/com/lb)","Le Dicastère pour l’évangélisation au Vatican a nommé le théologien Markus Cott (56 ans) nouveau directeur national des Œuvres pontificales missionnaires (Missio) en Suisse, annonce l’organisation le",Le Grison Markus Cott est le nouveau directeur de Missio Suisse – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/le-grison-markus-cott-est-le-nouveau-directeur-de-missio-suisse/,Cathinfo,,,2026-02-22 14:47:50,cathinfo,cathinfo_034785673294,nan,nan,['nan'],['nan'],,15,1,441,457
Décès du cardinal tanzanien Polycarp Pengo – Portail catholique suisse,"Le cardinal tanzanien Polycarp Pengo est décédé le 19 février 2026 à Dar es-Salaam, à l’âge de 81 ans. Figure importante de l’Église catholique en Afrique, archevêque émérite de Dar es-Salaam depuis 2019, il a été particulièrement engagé dans le dialogue islamo-chrétien dans son pays qui compte un tiers de musulmans. Déjà abonné(e)? Connectez-vous! nom d'utilisateur mot de passe connexion se souvenir de moi Demande de nouveau mot de passe Abonnez-vous à cath.ch! Cath.ch donne l’essentiel de l’actualité religieuse en Suisse, au Vatican et dans le monde. Abonnez-vous * et accédez à la totalité de nos nouvelles en continu et regroupées dans notre newsletter quotidienne en fin de journée. Recevez également le «Religions hebdo», notre newsletter hebdomadaire sur l’actualité œcuménique et des religions. En vous abonnant à cath.ch, vous soutenez le travail journalistique du Centre catholique des médias et vous stimulez notre site internet. Un grand merci de votre souscription ! Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 1 mois Incluse la newsletter « Religions hebdo » CHF 33.– Newsletter « Religions hebdo » pour 12 mois CHF 161.– Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 6 mois Incluse la newsletter « Religions hebdo » CHF 172.– Avec soutien: CHF 200.– Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 12 mois Incluse la newsletter « Religions hebdo » CHF 290.– Avec soutien: CHF 340.– avec TVA incluse * Les prix s’entendent pour des abonnements à titre privé. Tarification spéciale pour les institutions et les organes de presse . Renseignez-vous auprès de cath.ch: secretariat@cath-info.ch ou au +41 (0)21 653 50 22.","Le cardinal tanzanien Polycarp Pengo est décédé le 19 février 2026 à Dar es-Salaam, à l’âge de 81 ans. Figure importante de l’Église catholique en Afrique, archevêque émérite de Dar es-Salaam depuis 2",Décès du cardinal tanzanien Polycarp Pengo – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/deces-du-cardinal-tanzanien-polycarp-pengo-2/,Cathinfo,,,2026-02-22 14:47:51,cathinfo,cathinfo_124594657656,nan,nan,['nan'],['nan'],,10,1,268,279
Politique: les évêques du Ghana demandent la sauvegarde de l'espace sacré – Portail catholique suisse,"La Conférence des évêques du Ghana (GCBC) a publié, le 18 février 2026, une directive pastorale sur les moyens de sauvegarder l’espace sacré hors du champ du politique. Elle fait suite à des «événements récents et passés» au cours desquels des locaux ecclésiastiques, parfois même des églises, ont été utilisés à «des fins de propagande partisane». Déjà abonné(e)? Connectez-vous! nom d'utilisateur mot de passe connexion se souvenir de moi Demande de nouveau mot de passe Abonnez-vous à cath.ch! Cath.ch donne l’essentiel de l’actualité religieuse en Suisse, au Vatican et dans le monde. Abonnez-vous * et accédez à la totalité de nos nouvelles en continu et regroupées dans notre newsletter quotidienne en fin de journée. Recevez également le «Religions hebdo», notre newsletter hebdomadaire sur l’actualité œcuménique et des religions. En vous abonnant à cath.ch, vous soutenez le travail journalistique du Centre catholique des médias et vous stimulez notre site internet. Un grand merci de votre souscription ! Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 1 mois Incluse la newsletter « Religions hebdo » CHF 33.– Newsletter « Religions hebdo » pour 12 mois CHF 161.– Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 6 mois Incluse la newsletter « Religions hebdo » CHF 172.– Avec soutien: CHF 200.– Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 12 mois Incluse la newsletter « Religions hebdo » CHF 290.– Avec soutien: CHF 340.– avec TVA incluse * Les prix s’entendent pour des abonnements à titre privé. Tarification spéciale pour les institutions et les organes de presse . Renseignez-vous auprès de cath.ch: secretariat@cath-info.ch ou au +41 (0)21 653 50 22.","La Conférence des évêques du Ghana (GCBC) a publié, le 18 février 2026, une directive pastorale sur les moyens de sauvegarder l’espace sacré hors du champ du politique. Elle fait suite à des «événemen",Politique: les évêques du Ghana demandent la sauvegarde de l'espace sacré – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/politique-les-eveques-du-ghana-demandent-la-sauvegarde-de-lespace-sacre/,Cathinfo,,,2026-02-22 14:47:50,cathinfo,cathinfo_194493006529,nan,nan,['nan'],['nan'],,15,1,273,289
Léon XIV invite à pratiquer généreusement la pénitence – Portail catholique suisse,"Avant d’entamer la prière de l’Angélus du 22 février 2026, Léon XIV a mis en garde contre les «voies de satisfaction» faciles proposées par Satan. Elles ne sont que de «piètres substituts à la joie pour laquelle nous sommes faits», a-t-il prévenu en ce premier dimanche de Carême. Déjà abonné(e)? Connectez-vous! nom d'utilisateur mot de passe connexion se souvenir de moi Demande de nouveau mot de passe Abonnez-vous à cath.ch! Cath.ch donne l’essentiel de l’actualité religieuse en Suisse, au Vatican et dans le monde. Abonnez-vous * et accédez à la totalité de nos nouvelles en continu et regroupées dans notre newsletter quotidienne en fin de journée. Recevez également le «Religions hebdo», notre newsletter hebdomadaire sur l’actualité œcuménique et des religions. En vous abonnant à cath.ch, vous soutenez le travail journalistique du Centre catholique des médias et vous stimulez notre site internet. Un grand merci de votre souscription ! Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 1 mois Incluse la newsletter « Religions hebdo » CHF 33.– Newsletter « Religions hebdo » pour 12 mois CHF 161.– Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 6 mois Incluse la newsletter « Religions hebdo » CHF 172.– Avec soutien: CHF 200.– Abonnement cath.ch Ensemble des contenus et newsletter vers 18h pour 12 mois Incluse la newsletter « Religions hebdo » CHF 290.– Avec soutien: CHF 340.– avec TVA incluse * Les prix s’entendent pour des abonnements à titre privé. Tarification spéciale pour les institutions et les organes de presse . Renseignez-vous auprès de cath.ch: secretariat@cath-info.ch ou au +41 (0)21 653 50 22.","Avant d’entamer la prière de l’Angélus du 22 février 2026, Léon XIV a mis en garde contre les «voies de satisfaction» faciles proposées par Satan. Elles ne sont que de «piètres substituts à la joie po",Léon XIV invite à pratiquer généreusement la pénitence – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/leon-xiv-invite-a-pratiquer-genereusement-la-penitence/,Cathinfo,,,2026-02-22 14:47:51,cathinfo,cathinfo_234305067909,nan,nan,['nan'],['nan'],,12,1,265,278
Carême et Ramadan: convergences et divergences – Portail catholique suisse,"En 2026, le Carême des chrétiens et le Ramadan des musulmans commencent presque à la même date: le 18 février pour le Mercredi des Cendres, et le 19 février pour le début du Ramadan. L’occasion de se pencher sur les points communs et les différences entre ces deux périodes sacrées. Quels sont les objectifs spirituels du Carême et du Ramadan? Quelles sont les pratiques observées par les chrétiens et les musulmans? On vous explique tout! Christophe HERINCKX, Dimanche Les dates Pour le Carême , tout part de la date de Pâques. Dans la plupart des Églises chrétiennes d’Occident, cette date est calculée selon une règle ancienne appelée le comput . Selon celle-ci, Pâques tombe le premier dimanche après la première pleine lune suivant l’équinoxe de printemps, fixé au 21 mars dans le calendrier ecclésiastique, qui est basé sur le calendrier grégorien. Cette manière de calculer est fonction de la date de la Pâque juive. Dans les Eglises orthodoxes, on se fonde sur le calendrier julien, d’où la différence de dates. En Occident, Pâques peut tomber entre le 22 mars et le 25 avril. Puisque le Carême dure 40 jours, en référence aux 40 jours de jeûne de Jésus dans le désert, on remonte de 40 jours en partant du dimanche de Pâques. Mais vu que les dimanches ne sont pas comptés comme jours de pénitence, on compte en réalité 46 jours, et on aboutit ainsi, à rebours, au mercredi des Cendres. Célébration de l’Aïd-el-Fitr, en Inde |","En 2026, le Carême des chrétiens et le Ramadan des musulmans commencent presque à la même date: le 18 février pour le Mercredi des Cendres, et le 19 février pour le début du Ramadan. L'occasion d",Carême et Ramadan: convergences et divergences – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/careme-et-ramadan-quelles-differences/,Cathinfo,,,2026-02-22 14:47:49,cathinfo,cathinfo_259731758893,nan,nan,['nan'],['nan'],,10,1,247,258
La chaîne de prière eucharistique européenne démarre en Albanie – Portail catholique suisse,"La «Chaîne de prière eucharistique» organisée par le Conseil des conférences épiscopales d’Europe (CCEE) débute ce mercredi des Cendres, pour la cinquième année consécutive. La Suisse y participera. Face aux nombreux conflits qui sévissent dans le monde, affirme le CCEE, la prière reste un moyen important de promouvoir la paix, au même titre que la diplomatie et le dialogue. L’Église catholique en Europe souhaite ainsi se rassembler, pendant toute la durée du Carême, autour de la table eucharistique pour invoquer la paix sur le continent et dans le monde. Chaque conférence nationale des évêques s’est ainsi engagée à organiser au moins une célébration eucharistique entre le mercredi des Cendres et Pâques, afin de prier pour les victimes de la guerre et implorer Dieu d’accorder une paix «désarmée et désarmante» en Ukraine, en Terre Sainte et dans le monde entier. De l’Albanie à la Hongrie, en passant par la Suisse C’est l’Albanie qui ouvre la chaîne ce mercredi des Cendres, suivie par la Belgique qui organisera le jeudi 19 février une célébration eucharistique dans la chapelle latérale de la cathédrale de Bruxelles. Ce sera ensuite au tour de l’Autriche de prendre la relève, le 20 février, avec notamment une messe célébrée dans la cathédrale de Salzbourg par Mgr Franz Lackner, président de la Conférence épiscopale autrichienne. La dernière célébration eucharistique de la chaîne devrait être assurée par la Hongrie, le 2 avril 2026. La Suisse, pour sa part, se joindra cette année encore à cette initiative du Conseil des conférences épiscopales d’Europe, avec une célébration eucharistique le 28 mars 2026. Les années précédentes, le présidium de la Conférence des évêques suisses avait décidé de confier cette tâche tout à tour à l’abbaye d’Einsiedeln (2022), à l’abbaye de St-Maurice (2023), au Sanctuaire de la Madonna del Sasso du Tessin (2024), puis à l’abbaye bénédictine de Disentis (GR) en Suisse romanche (2025), permettant ainsi une représentation de toutes ses régions linguistiques. (cath.ch/lb)","La «Chaîne de prière eucharistique» organisée par le Conseil des conférences épiscopales d’Europe (CCEE) débute ce mercredi des Cendres, pour la cinquième année consécutive. La Suisse y participera.",La chaîne de prière eucharistique européenne démarre en Albanie – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/la-chaine-de-priere-eucharistique-europeenne-demarre-en-albanie/,Cathinfo,,,2026-02-22 14:47:50,cathinfo,cathinfo_340304832807,nan,nan,['nan'],['nan'],,13,1,319,333
Évangile de Dimanche: Le diable exégète – Portail catholique suisse,"Après son baptême, Jésus est poussé par l’Esprit vers le désert, le lieu traditionnel de la tentation et de la mise à l’épreuve. Le peuple d’Israël y avait erré durant quarante ans soumis à un long test de fidélité afin de vérifier pour qui battait son cœur. Jésus y passera quarante jours. Au moment de son baptême, une voix venue du ciel s’était fait entendre, qui proclamait « Celui-ci est mon fils bien aimé ». Ce séjour dans la solitude sera l’occasion d’éprouver la solidité de son lien avec le Père en questionnant ses propres choix. L’Évangile nous offre une scène haute en couleurs. Seul, dans un environnement dépouillé, éprouvé par un long jeûne, Jésus affronte Satan ou le Diable. Le tentateur le provoque sous apparence de bien en le confrontant aux attentes des foules et de ses disciples qui ne cesseront de le mettre sous pression pour qu’il manifeste s’il est vraiment l’envoyé de Dieu. «À en croire le tentateur, le repli sur soi devient le critère de l’interprétation de la volonté divine» «À en croire le tentateur, le repli sur soi devient le critère de l’interprétation de la volonté divine» Le tentateur argumente à partir des Écritures dont il détourne subtilement le sens. Trois lectures gauchissent la Parole de Dieu au profit de son propre ego, trois mises en pratique de la relation à Dieu au service du désir d’autosuffisance. À en croire le tentateur, le repli sur soi devient le critère de l’interprétation de la volonté divine. Des pierres sont transformées en pains pour apaiser une fringale de consommation, un geste fou est suggéré pour méduser la foule et assurer la propre gloriole, la perspective du pouvoir nourrit l’ambition d’un petit dieu. Autant de manières d’abuser de la Parole de Dieu et d’exploiter la religion pour sa propre promotion. «La tentation est subtile. […] Les disciples eux-mêmes s’y sont laissés prendre.» «La tentation est subtile. […] Les disciples eux-mêmes s’y sont laissés prendre.» La tentation est subtile. Sous prétexte de fidélité à la Parole, Jésus est tenté de répondre aux vœux de ceux qui attendaient un messie nationaliste et triomphaliste. Dieu mobilisé au service d’un royaume de ce monde. Les disciples eux-mêmes s’y sont laissés prendre. Lorsque, plus tard, Jésus leur parlera de sa Passion, ils trouveront ses propos insupportables et tenteront de l’en détourner. Reconnaissant dans leur réaction le souvenir des tentations du désert, Jésus traitera Pierre de Satan (Mt 16,23). «Les chrétiens ont succombé plus d’une fois aux tentations en inscrivant l’héritage du Christ dans des structures très mondaines» «Les chrétiens ont succombé plus d’une fois aux tentations en inscrivant l’héritage du Christ dans des structures très mondaines» Si Jésus a déjoué les manœuvres du tentateur et résisté à ses disciples qui le poussaient à faire le jeu d’une réussite temporelle, les chrétiens, au cours de leur histoire, ont succombé plus d’une fois aux tentations du désert en inscrivant l’héritage du Christ dans des structures sociales, politiques ou religieuses très mondaines. La Parole de Dieu a pu être évoquée pour bâtir des royaumes de ce monde, justifier l’accumulation des richesses, la soumission des masses populaires ou exercer un pouvoir temporel. L’histoire des Églises chrétiennes ne manque pas d’exemples. Aujourd’hui, rattrapés par toutes sortes de scandales, les disciples du Christ sont reconduits au désert pour revoir leurs choix, sans autre prétention que l’humble écoute d’une Parole qui les décentre d’eux-mêmes. Pierre Emonet SJ | Vendredi 20 février 2026 Mt 4, 1-11 En ce temps-là, Jésus fut conduit au désert par l’Esprit pour être tenté par le diable. Après avoir jeûné quarante jours et quarante nuits, il eut faim. Le tentateur s’approcha et lui dit : « Si tu es Fils de Dieu, ordonne que ces pierres deviennent des pains. » Mais Jésus répondit : « Il est écrit : L’homme ne vit pas seulement de pain, mais de toute parole qui sort de la bouche de Dieu . » Alors le diable l’emmène à la Ville sainte, le place au sommet du Temple et lui dit : « Si tu es Fils de Dieu, jette-toi en bas ; car il est écrit : Il donnera pour toi des ordres à ses anges, et : Ils te porteront sur leurs mains, de peur que ton pied ne heurte une pierre. » Jésus lui déclara : « Il est encore écrit : Tu ne mettras pas à l’épreuve le Seigneur ton Dieu . » Le diable l’emmène encore sur une très haute montagne et lui montre tous les royaumes du monde et leur gloire. Il lui dit : « Tout cela, je te le donnerai, si, tombant à mes pieds, tu te prosternes devant moi. » Alors, Jésus lui dit : « Arrière, Satan ! car il est écrit : C’est le Seigneur ton Dieu que tu adoreras, à lui seul tu rendras un culte. » Alors le diable le quitte. Et voici que des anges s’approchèrent, et ils le servaient.","Après son baptême, Jésus est poussé par l’Esprit vers le désert, le lieu traditionnel de la tentation et de la mise à l’épreuve. Le peuple d’Israël y avait erré durant quarante ans soumis à un long te",Évangile de Dimanche: Le diable exégète – Portail catholique suisse,,[],,fr,https://www.cath.ch/blogsf/evangile-de-dimanche-le-diable-exegete/,Cathinfo,,,2026-02-22 14:47:52,cathinfo,cathinfo_662888994570,nan,nan,['nan'],['nan'],,10,1,823,834
Une exposition lance les commémorations du «centenaire» de Joseph Ratzinger – Portail catholique suisse,"Les commémorations du 100e anniversaire de la naissance (avril 1927) de Joseph Ratzinger, devenu plus tard le pape Benoît XVI, ont débuté ce 20 février 2026, à Pordenone, en Italie. Le musée diocésain d’Art Sacré de Pordenone, une ville du nord-est de l’Italie, retrace la vie, l’œuvre et le parcours spirituel de Joseph Ratzinger, devenu en avril 2005 le pape Benoît XVI, à travers des objets personnels, des vêtements liturgiques, des œuvres d’art et des photographies historiques. Parmi ces objets, des calices, des statuettes représentant la Vierge patronne de la Bavière ou l’ours en bronze, symbole de cette même Bavière d’où le pape allemand était originaire. Les vêtements sacrés de sa période du pontificat ne manquent pas, ainsi que ses vêtements usuels, comme la mozette de velours rouge bordée d’hermine qu’il portait lors des froids hivernaux au Vatican, ainsi que les célèbres chaussures rouges qu’un cordonnier de Rome lui avait confectionnées sur mesure. Ces objets ont été légués par l’ancien pape démissionnaire au Centre d’études Ratzinger de Bydgosz, en Pologne. Les organisateurs de l’événement sont la Fondation vaticane Joseph Ratzinger/Benedetto XVI et le Dicastère pour la formation et la culture du Vatican. Des conférences et des débats autour de la théologie de Joseph Ratzinger sont aussi prévus. D’autres événements suivront au cours des prochains mois, notamment à Marktl, sa ville natale. (cath.ch/ag) Retrouvez l’ensemble de notre dossier sur Benoît XVI , pape émérite qui s’est éteint le 31 décembre 2022 à l’âge de 95 ans.","Les commémorations du 100e anniversaire de la naissance (avril 1927) de Joseph Ratzinger, devenu plus tard le pape Benoît XVI, ont débuté ce 20 février 2026, à Pordenone, en Italie.",Une exposition lance les commémorations du «centenaire» de Joseph Ratzinger – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/une-exposition-lance-les-commemorations-du-centenaire-de-joseph-ratzinger/,Cathinfo,,,2026-02-22 14:47:51,cathinfo,cathinfo_702696857698,nan,nan,['nan'],['nan'],,14,1,245,260
Le Suisse Manuel Dürr inaugure son Chemin de croix dans la basilique St-Pierre – Portail catholique suisse,"À seulement 36 ans, le peintre suisse Manuel Andreas Dürr a relevé un grand défi: peindre quatorze stations du Chemin de c roix pour la basilique Saint-Pierre . Ses peintures ont été présentées pour la première fois le 20 février 2026. Ce geste artistique rare, d’installer une nouvelle œuvre dans une église déjà riche d’un patrimoine inestimable, s’inscrit dans les célébrations à l’occasion des 400 ans de la consécration de la basilique papale, survenue en 1626. L’artiste, présent à Rome pour l’inauguration, a souligné l’importance de sa démarche, notamment sur le plan spirituel en tant que protestant. Un soutien pour la prière La Via Crucis ou Chemin de croix est un rituel catholique qui commémore en plusieurs étapes – le plus souvent quatorze – le parcours de douleur de Jésus, depuis sa condamnation à mort jusqu’à sa crucifixion et sa mise au tombeau. Cet itinéraire spirituel, recommandé pendant la période du Carême et notamment le vendredi, jour de la mort du Christ, a beaucoup inspiré les artistes. Leurs œuvres sont utilisées dans les églises pour aider les fidèles à la méditation des épisodes douloureux, appelés stations. L’art de Manuel Dürr a de nettes réminiscences avec la peinture italienne de la Renaissance | Camille Dalmas I.MEDIA Dans la basilique papale, les tableaux du peintre Manuel Andreas Dürr ont été disposés sous les grandes statues de saints et saintes qui ornent les piliers de la nef et entourent l’autel central, sous la coupole. Discrets en raison des volumes gigantesques de la basilique, ces cadres sont en soi inhabituels sur les parois de Saint-Pierre, qui ne sont parées que de mosaïques. Sélectionné à l’issue d’un concours L’artiste biennois a remporté le concours lancé en décembre 2023 par la Fabrique de Saint-Pierre – l’organisme en charge de l’entretien du monument – et a passé huit mois dans son atelier de Bienne pour les réaliser. Malgré son jeune âge – il a seulement 36 ans –, il a pu s’appuyer sur un important bagage humaniste, lui qui a appris la peinture à Florence et a étudié la philosophie, l’histoire de l’art et la culture slave dans les universités de Fribourg et de Berne. «Pour moi, c’est vraiment surréaliste d’avoir l’honneur de tenter de réaliser une chose si grande», a confié le peintre à I.MEDIA lors de l’inauguration de ses toiles dans la basilique, estimant qu’elles avaient su y trouver leur place. Pour cela, il explique avoir dû sortir du «petit univers propre» dans lequel l’artiste contemporain est souvent habitué à évoluer, et accepter le «contexte spécifique» et «l’univers symbolique» du lieu, mais aussi s’imprégner du «mystère de l’incarnation et de la passion». Manuel Dürr espère que le pape sera content de son travail | Camille Dalmas I.MEDIA Manuel Andreas Dürr n’est pas catholique, mais appartient à une petite Église protestante suisse, la communauté «Jahu», qui compte près de 500 membres. Exposer dans un lieu catholique ne l’a pas perturbé, notamment parce que la spiritualité de sa communauté est très tournée vers le dialogue œcuménique, mais aussi parce qu’il se considère assez proche, d’un point de vue théologique, des catholiques. Inspiré par la Renaissance italienne Originellement inspirée par le courant réaliste de la fin du XIXe siècle, sa peinture s’est peu à peu tournée vers la peinture italienne de la fin du Moyen Âge et de la Renaissance, avec une admiration toute particulière pour Fra Angelico et Michel-Ange. Des inspirations qui se ressentent dans ses tableaux peints à l’huile, où la dureté des lignes franches – notamment celle de la croix ou de l’embrasure du tombeau – tranche avec la délicatesse des postures des personnages représentés. Dominent des nuances de bleu, de rouge pastel et d’un ocre qui tire parfois vers le doré des icônes orientales. La mise au tombeau | EPA/FABIO FRUSTACI Son grand modèle est en fait un peintre ukrainien rencontré lors de ses études, avec lequel il est toujours en contact: Sergey Chubirko. Ce dernier vit et travaille à Florence et l’a conseillé pour son chemin de croix. Une chose était claire pour l’artiste dès le début: «Mon chemin de croix doit s’intégrer dans le magnifique écrin artistique qu’est la basilique Saint-Pierre. Je ne veux pas que mes peintures à l’huile soient perçues comme une intervention ou un corps étranger» relève-t-il dans le podcast ›Laut + Leis’ sur kath.ch. «J’ai peint Jésus tel qu’il est déjà représenté dans la basilique Saint-Pierre. Je me suis efforcé de m’adapter au contexte, tout en évitant de répéter servilement des archétypes.» «Mes tableaux ne sont pas des machines à remonter le temps. Ce sont des images qui s’inscrivent dans une tradition picturale et qui recherchent une approche critique tout en restant respectueuse.» Une aventure personnelle Pour le Suisse, cette commande a été une très belle aventure personnelle. La Fabrique saint Pierre, responsable de la basilique papale Saint-Pierre au Vatican, avait annoncé le 18 décembre 2024 que l’artiste biennois Manuel Dürr avait remporté le concours international pour la réalisation d’une «Via Crucis» dans l’édifice. Près de 1’000 artistes du monde entier ont participé à ce concours. La seule condition était un casier judiciaire vierge. Le projet de Manuel Dürr a été sélectionné en raison de sa «qualité technique exceptionnelle, de son originalité et de son importante force d’expression». « Toutes les générations doivent tenter de trouver par elles-mêmes ce que cette histoire [de la Passion] veut vraiment dire », a-t-il expliqué. Pour le moment, il ne sait pas si le pape Léon XIV a déjà vu ses tableaux. « J’espère bien entendu qu’il sera content de mon travail », confie-t-il. (cath.ch/imedia/mp) Manuel Dürr Manuel Andreas Dürr, né en 1989, a étudié la peinture à l’Académie d’art classique de Florence, puis la philosophie, l’histoire de l’art et les études slaves aux universités de Fribourg et de Berne. Ses œuvres ont été présentées dans des expositions internationales en Europe, en Chine et aux États-Unis. Il travaille en tant qu’artiste indépendant à Bienne (BE). Manuel Dürr et sa famille appartiennent à la communauté Jahu de Bienne. Celle-ci se considère comme appartenant à l’Église réformée, tout en cultivant des traditions orthodoxes et évangéliques. Ses peintures, qui ont été exposées dans le monde entier, sont connues pour leur langage visuel puissant et leur capacité à interpréter de manière frappante des thèmes religieux et sociaux. MP","À seulement 36 ans, le peintre suisse Manuel Andreas Dürr a relevé un grand défi: peindre quatorze stations du Chemin de croix pour la basilique Saint-Pierre. Ses peintures ont été présentées pour la",Le Suisse Manuel Dürr inaugure son Chemin de croix dans la basilique St-Pierre – Portail catholique suisse,,[],,fr,https://www.cath.ch/newsf/le-suisse-manuel-durr-inaugure-son-chemin-de-croix-dans-la-basilique-saint-pierre/,Cathinfo,,,2026-02-22 14:47:48,cathinfo,cathinfo_891457785609,nan,nan,['nan'],['nan'],,17,1,1042,1060
