,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,-0.266,0.283,-0.81,0.25,0.004,0.004,4898.0,4456.0,1.0
model[gemma2:latest],-0.854,0.372,-1.57,-0.19,0.004,0.004,6969.0,5049.0,1.0
model[gemma3:4b],0.873,0.361,0.191,1.536,0.005,0.004,6398.0,5012.0,1.0
model[llama3.2:latest],1.166,0.363,0.528,1.891,0.004,0.004,6665.0,4790.0,1.0
model[phi3:mini],0.001,0.356,-0.676,0.647,0.004,0.004,6411.0,4789.0,1.0
model[qwen2.5:3b-instruct],2.087,0.407,1.326,2.852,0.005,0.005,6209.0,4872.0,1.0
confidence_z,-0.358,0.203,-0.749,0.012,0.003,0.003,6586.0,4364.0,1.0
log_words_z,-0.455,0.201,-0.853,-0.106,0.003,0.003,4468.0,4188.0,1.0
1|article_id_sigma,0.875,0.216,0.489,1.291,0.005,0.003,2213.0,3205.0,1.0
1|article_id[28980688],0.029,0.54,-1.026,1.013,0.006,0.008,8394.0,4280.0,1.0
1|article_id[29115321],0.346,0.567,-0.728,1.423,0.007,0.009,6470.0,4208.0,1.0
1|article_id[29123091],0.516,0.541,-0.476,1.53,0.006,0.007,7888.0,4684.0,1.0
1|article_id[29134266],0.622,0.563,-0.398,1.704,0.006,0.007,7699.0,4833.0,1.0
1|article_id[29134900],-0.312,0.566,-1.374,0.757,0.007,0.007,7559.0,4538.0,1.0
1|article_id[29134931],0.158,0.539,-0.88,1.145,0.006,0.007,7754.0,4337.0,1.0
1|article_id[29138340],0.118,0.547,-0.933,1.122,0.006,0.007,8055.0,4264.0,1.0
1|article_id[29139994],-0.114,0.59,-1.269,0.961,0.007,0.007,6772.0,4828.0,1.0
1|article_id[29142365],0.335,0.573,-0.74,1.412,0.006,0.008,8410.0,4465.0,1.0
1|article_id[29142442],1.036,0.615,-0.085,2.199,0.008,0.009,6908.0,4607.0,1.0
1|article_id[29143391],-0.427,0.556,-1.499,0.591,0.006,0.007,8037.0,4497.0,1.0
1|article_id[29144178],-0.349,0.561,-1.393,0.73,0.006,0.007,7790.0,4527.0,1.0
1|article_id[29144921],-0.669,0.58,-1.811,0.376,0.007,0.009,7265.0,4098.0,1.0
1|article_id[29147062],-1.73,0.732,-3.098,-0.405,0.011,0.01,4689.0,4375.0,1.0
1|article_id[29147162],-0.442,0.525,-1.417,0.548,0.006,0.007,8415.0,4660.0,1.0
1|article_id[29147304],0.362,0.539,-0.619,1.383,0.006,0.007,7919.0,4389.0,1.0
1|article_id[29147331],-0.423,0.542,-1.452,0.565,0.006,0.008,8217.0,4595.0,1.0
1|article_id[29147656],0.77,0.596,-0.27,1.933,0.007,0.008,7481.0,4643.0,1.0
1|article_id[29147820],0.302,0.568,-0.724,1.419,0.007,0.008,7670.0,5023.0,1.0
1|article_id[29147828],0.522,0.57,-0.554,1.597,0.006,0.008,9105.0,4702.0,1.0
1|article_id[29148256],1.003,0.592,-0.083,2.13,0.008,0.009,5820.0,3716.0,1.0
1|article_id[29148270],0.548,0.557,-0.442,1.637,0.006,0.008,7621.0,4291.0,1.0
1|article_id[29148433],-0.145,0.687,-1.479,1.137,0.009,0.01,6366.0,4378.0,1.0
1|article_id[29150791],-0.18,0.533,-1.21,0.78,0.006,0.008,8516.0,4563.0,1.0
1|article_id[29150974],0.831,0.59,-0.218,1.954,0.007,0.009,7689.0,4438.0,1.0
1|article_id[29151828],0.624,0.555,-0.368,1.696,0.006,0.007,7702.0,5164.0,1.0
1|article_id[29152239],-0.588,0.558,-1.631,0.456,0.007,0.008,7195.0,4241.0,1.0
1|article_id[29152429],-1.191,0.617,-2.344,-0.04,0.008,0.008,6030.0,4489.0,1.0
1|article_id[29153734],-0.313,0.55,-1.328,0.742,0.006,0.008,9314.0,4598.0,1.0
1|article_id[29153846],-0.871,0.571,-1.934,0.211,0.007,0.008,7764.0,4823.0,1.0
1|article_id[29154335],-0.298,0.586,-1.382,0.842,0.007,0.008,7204.0,4284.0,1.0
