,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa,9.82,1.037,7.938,11.836,0.012,0.013,7665.0,4848.0,1.0
Intercept,-0.746,0.146,-1.011,-0.463,0.002,0.002,3597.0,4016.0,1.0
model[gemma2:latest],0.519,0.188,0.152,0.846,0.003,0.002,5255.0,4856.0,1.0
model[gemma3:4b],0.991,0.166,0.688,1.306,0.002,0.002,4832.0,4413.0,1.0
model[llama3.2:latest],0.106,0.158,-0.194,0.4,0.002,0.002,4537.0,4786.0,1.0
model[phi3:mini],-0.186,0.186,-0.54,0.155,0.003,0.002,5165.0,4711.0,1.0
model[qwen2.5:3b-instruct],-0.176,0.166,-0.485,0.135,0.002,0.002,4872.0,4755.0,1.0
confidence_z,-0.116,0.065,-0.237,0.006,0.001,0.001,6791.0,5326.0,1.0
log_words_z,-0.201,0.092,-0.383,-0.038,0.002,0.001,3352.0,3792.0,1.0
1|article_id_sigma,0.443,0.087,0.288,0.61,0.002,0.001,2241.0,3217.0,1.0
1|article_id[28980688],0.542,0.248,0.081,1.008,0.003,0.003,7607.0,4084.0,1.0
1|article_id[29115321],-0.828,0.286,-1.372,-0.293,0.004,0.003,4839.0,4729.0,1.0
1|article_id[29123091],0.354,0.226,-0.052,0.8,0.003,0.003,7708.0,4551.0,1.0
1|article_id[29134266],-0.766,0.278,-1.263,-0.239,0.004,0.004,5852.0,5001.0,1.0
1|article_id[29134900],-0.475,0.281,-0.976,0.08,0.004,0.004,6095.0,4891.0,1.0
1|article_id[29134931],0.227,0.252,-0.246,0.711,0.003,0.003,7175.0,4682.0,1.0
1|article_id[29138340],0.15,0.256,-0.335,0.633,0.003,0.003,8495.0,4458.0,1.0
1|article_id[29139994],0.104,0.273,-0.409,0.617,0.004,0.003,6041.0,4660.0,1.0
1|article_id[29142365],-0.198,0.217,-0.592,0.219,0.003,0.003,5405.0,4395.0,1.0
1|article_id[29142442],0.364,0.215,-0.042,0.766,0.002,0.003,8443.0,4740.0,1.0
1|article_id[29143391],-0.738,0.234,-1.183,-0.319,0.003,0.003,5393.0,4622.0,1.0
1|article_id[29144178],0.349,0.259,-0.126,0.842,0.003,0.003,7156.0,4653.0,1.0
1|article_id[29144921],0.252,0.283,-0.3,0.781,0.003,0.004,8192.0,4707.0,1.0
1|article_id[29147062],0.3,0.238,-0.139,0.749,0.003,0.003,7994.0,4480.0,1.0
1|article_id[29147162],0.093,0.238,-0.365,0.529,0.003,0.003,8822.0,4369.0,1.0
1|article_id[29147304],0.155,0.221,-0.248,0.567,0.003,0.003,7098.0,4359.0,1.0
1|article_id[29147331],-0.002,0.231,-0.424,0.441,0.003,0.003,7129.0,4461.0,1.0
1|article_id[29147656],0.023,0.21,-0.381,0.407,0.003,0.003,6990.0,4855.0,1.0
1|article_id[29147820],0.084,0.218,-0.317,0.499,0.003,0.003,5595.0,4552.0,1.0
1|article_id[29147828],-0.52,0.225,-0.94,-0.107,0.003,0.003,6309.0,4528.0,1.0
1|article_id[29148256],0.017,0.215,-0.378,0.43,0.002,0.003,7758.0,4608.0,1.0
1|article_id[29148270],-0.02,0.216,-0.425,0.384,0.002,0.003,7871.0,4999.0,1.0
1|article_id[29148433],-0.1,0.306,-0.687,0.467,0.005,0.003,4227.0,4538.0,1.0
1|article_id[29150791],0.349,0.216,-0.056,0.755,0.002,0.003,8001.0,4914.0,1.0
1|article_id[29150974],-0.055,0.207,-0.422,0.36,0.002,0.003,8091.0,4520.0,1.0
1|article_id[29151828],0.248,0.22,-0.151,0.674,0.003,0.003,7131.0,4180.0,1.0
1|article_id[29152239],-0.423,0.263,-0.911,0.084,0.003,0.003,7465.0,4441.0,1.0
1|article_id[29152429],0.173,0.324,-0.454,0.778,0.004,0.004,8514.0,4537.0,1.0
1|article_id[29153734],0.056,0.253,-0.421,0.52,0.003,0.003,8637.0,4669.0,1.0
1|article_id[29153846],0.165,0.294,-0.407,0.704,0.003,0.004,9942.0,4485.0,1.0
1|article_id[29154335],0.056,0.253,-0.408,0.54,0.003,0.003,5885.0,4783.0,1.0
mu[0],0.258,0.051,0.167,0.356,0.001,0.001,9533.0,4354.0,1.0
mu[1],0.379,0.058,0.268,0.487,0.001,0.001,10942.0,4474.0,1.0
mu[2],0.429,0.05,0.336,0.525,0.0,0.001,10891.0,4952.0,1.0
mu[3],0.432,0.063,0.315,0.551,0.001,0.001,10436.0,4942.0,1.0
mu[4],0.419,0.052,0.324,0.52,0.001,0.001,10172.0,4949.0,1.0
mu[5],0.364,0.052,0.27,0.462,0.0,0.001,11075.0,4766.0,1.0
mu[6],0.436,0.056,0.329,0.539,0.001,0.001,8085.0,5407.0,1.0
mu[7],0.385,0.058,0.282,0.499,0.001,0.001,8594.0,4826.0,1.0
mu[8],0.435,0.053,0.332,0.531,0.001,0.001,10354.0,4836.0,1.0
mu[9],0.354,0.057,0.252,0.465,0.001,0.001,11104.0,4520.0,1.0
mu[10],0.395,0.05,0.304,0.489,0.0,0.001,12096.0,4422.0,1.0
mu[11],0.266,0.045,0.182,0.35,0.0,0.001,10151.0,5013.0,1.0
mu[12],0.348,0.064,0.237,0.478,0.001,0.001,8754.0,5017.0,1.0
mu[13],0.476,0.058,0.362,0.582,0.001,0.001,10319.0,4889.0,1.0
mu[14],0.522,0.065,0.396,0.639,0.001,0.001,10129.0,4968.0,1.0
mu[15],0.517,0.064,0.404,0.643,0.001,0.001,9020.0,4169.0,1.0
mu[16],0.553,0.055,0.452,0.659,0.001,0.001,10203.0,4681.0,1.0
mu[17],0.543,0.064,0.418,0.662,0.001,0.001,10290.0,5248.0,1.0
mu[18],0.544,0.068,0.42,0.674,0.001,0.001,9948.0,5002.0,1.0
mu[19],0.51,0.063,0.388,0.622,0.001,0.001,10063.0,5138.0,1.0
mu[20],0.551,0.069,0.42,0.68,0.001,0.001,9318.0,5161.0,1.0
mu[21],0.548,0.062,0.435,0.666,0.001,0.001,8825.0,5587.0,1.0
mu[22],0.496,0.066,0.377,0.623,0.001,0.001,9225.0,5296.0,1.0
mu[23],0.503,0.065,0.381,0.627,0.001,0.001,9842.0,4749.0,1.0
mu[24],0.518,0.057,0.413,0.623,0.001,0.001,10839.0,5287.0,1.0
mu[25],0.312,0.05,0.217,0.407,0.001,0.001,9905.0,5430.0,1.0
mu[26],0.286,0.052,0.189,0.383,0.001,0.001,9933.0,4394.0,1.0
mu[27],0.33,0.049,0.237,0.42,0.0,0.001,10365.0,4375.0,1.0
mu[28],0.309,0.05,0.217,0.402,0.0,0.001,10309.0,4766.0,1.0
mu[29],0.313,0.055,0.206,0.414,0.001,0.001,10332.0,4452.0,1.0
mu[30],0.291,0.055,0.189,0.396,0.001,0.001,9789.0,3748.0,1.0
mu[31],0.273,0.047,0.186,0.362,0.0,0.001,10297.0,4830.0,1.0
mu[32],0.17,0.036,0.105,0.236,0.0,0.0,7186.0,4585.0,1.0
mu[33],0.336,0.052,0.241,0.434,0.0,0.001,11389.0,3995.0,1.0
mu[34],0.265,0.052,0.167,0.359,0.001,0.001,10310.0,4549.0,1.0
mu[35],0.301,0.052,0.203,0.397,0.0,0.001,12168.0,4569.0,1.0
mu[36],0.3,0.049,0.209,0.39,0.0,0.001,11427.0,4806.0,1.0
mu[37],0.192,0.036,0.126,0.259,0.0,0.0,8629.0,4649.0,1.0
mu[38],0.181,0.039,0.109,0.251,0.0,0.001,9181.0,4670.0,1.0
mu[39],0.304,0.046,0.224,0.396,0.0,0.001,9852.0,5046.0,1.0
mu[40],0.276,0.051,0.185,0.374,0.001,0.001,9433.0,4965.0,1.0
mu[41],0.366,0.058,0.261,0.479,0.001,0.001,10489.0,4745.0,1.0
mu[42],0.369,0.053,0.276,0.472,0.001,0.001,8607.0,5103.0,1.0
mu[43],0.286,0.061,0.174,0.401,0.001,0.001,9976.0,4691.0,1.0
mu[44],0.351,0.056,0.242,0.45,0.001,0.001,9074.0,5146.0,1.0
mu[45],0.358,0.051,0.261,0.45,0.0,0.001,11367.0,4633.0,1.0
mu[46],0.103,0.024,0.062,0.151,0.0,0.0,6097.0,5071.0,1.0
mu[47],0.311,0.045,0.23,0.398,0.0,0.001,10707.0,5032.0,1.0
mu[48],0.193,0.035,0.128,0.258,0.0,0.0,9752.0,4384.0,1.0
mu[49],0.641,0.054,0.537,0.739,0.001,0.001,9894.0,4693.0,1.0
mu[50],0.685,0.055,0.579,0.785,0.001,0.001,10505.0,5197.0,1.0
mu[51],0.578,0.054,0.472,0.674,0.001,0.001,10476.0,4654.0,1.0
mu[52],0.34,0.062,0.228,0.455,0.001,0.001,7879.0,4951.0,1.0
mu[53],0.564,0.052,0.468,0.662,0.0,0.001,12234.0,4740.0,1.0
mu[54],0.556,0.053,0.464,0.662,0.001,0.001,11374.0,4490.0,1.0
mu[55],0.642,0.053,0.544,0.737,0.001,0.001,9805.0,4729.0,1.0
mu[56],0.567,0.063,0.447,0.68,0.001,0.001,11214.0,4803.0,1.0
mu[57],0.611,0.056,0.502,0.711,0.001,0.001,11911.0,4718.0,1.0
mu[58],0.346,0.049,0.255,0.436,0.001,0.001,7326.0,5040.0,1.0
mu[59],0.41,0.058,0.299,0.514,0.001,0.001,6803.0,5107.0,1.0
mu[60],0.382,0.056,0.277,0.487,0.001,0.001,8817.0,4645.0,1.0
mu[61],0.366,0.052,0.275,0.469,0.001,0.001,10224.0,4574.0,1.0
mu[62],0.419,0.065,0.294,0.538,0.001,0.001,11262.0,4700.0,1.0
mu[63],0.429,0.05,0.336,0.525,0.0,0.001,10891.0,4952.0,1.0
mu[64],0.424,0.061,0.311,0.541,0.001,0.001,8940.0,5670.0,1.0
mu[65],0.352,0.05,0.263,0.447,0.001,0.001,9802.0,4956.0,1.0
mu[66],0.398,0.057,0.295,0.512,0.001,0.001,10228.0,4780.0,1.0
mu[67],0.384,0.06,0.275,0.495,0.001,0.001,9046.0,3886.0,1.0
mu[68],0.201,0.042,0.122,0.277,0.0,0.0,8770.0,5021.0,1.0
mu[69],0.46,0.062,0.337,0.572,0.001,0.001,9033.0,5144.0,1.0
mu[70],0.396,0.056,0.295,0.504,0.001,0.001,10927.0,4497.0,1.0
mu[71],0.131,0.03,0.077,0.187,0.0,0.0,6833.0,5115.0,1.0
mu[72],0.605,0.078,0.463,0.753,0.001,0.001,9457.0,5717.0,1.0
mu[73],0.48,0.056,0.373,0.583,0.001,0.001,9327.0,4819.0,1.0
mu[74],0.473,0.058,0.37,0.587,0.001,0.001,10187.0,4852.0,1.0
mu[75],0.34,0.056,0.239,0.448,0.001,0.001,7057.0,4623.0,1.0
mu[76],0.485,0.06,0.366,0.592,0.001,0.001,10882.0,5295.0,1.0
mu[77],0.496,0.067,0.374,0.622,0.001,0.001,10862.0,4842.0,1.0
mu[78],0.497,0.061,0.377,0.607,0.001,0.001,10777.0,4756.0,1.0
mu[79],0.215,0.047,0.126,0.3,0.001,0.001,6509.0,4545.0,1.0
mu[80],0.302,0.055,0.201,0.405,0.001,0.001,10456.0,4917.0,1.0
mu[81],0.269,0.043,0.195,0.354,0.0,0.001,9105.0,4018.0,1.0
mu[82],0.374,0.062,0.264,0.494,0.001,0.001,10149.0,4797.0,1.0
mu[83],0.332,0.053,0.239,0.438,0.001,0.001,11134.0,5058.0,1.0
mu[84],0.367,0.056,0.261,0.473,0.001,0.001,8466.0,5597.0,1.0
mu[85],0.27,0.044,0.185,0.35,0.0,0.001,11907.0,4891.0,1.0
mu[86],0.255,0.044,0.176,0.34,0.0,0.001,10402.0,4828.0,1.0
mu[87],0.346,0.057,0.236,0.451,0.001,0.001,9878.0,4702.0,1.0
mu[88],0.107,0.028,0.058,0.159,0.0,0.0,6347.0,4937.0,1.0
mu[89],0.278,0.049,0.186,0.367,0.0,0.001,10438.0,4572.0,1.0
mu[90],0.295,0.053,0.2,0.396,0.001,0.001,11208.0,4891.0,1.0
mu[91],0.363,0.05,0.274,0.462,0.001,0.001,9689.0,4585.0,1.0
mu[92],0.262,0.041,0.19,0.342,0.0,0.001,10094.0,4570.0,1.0
mu[93],0.282,0.042,0.207,0.363,0.0,0.001,9746.0,4237.0,1.0
mu[94],0.296,0.05,0.203,0.392,0.001,0.001,9750.0,4504.0,1.0
mu[95],0.333,0.048,0.243,0.423,0.0,0.001,10580.0,4527.0,1.0
mu[96],0.287,0.051,0.191,0.381,0.001,0.001,8745.0,3927.0,1.0
mu[97],0.266,0.043,0.187,0.348,0.0,0.001,10333.0,4970.0,1.0
mu[98],0.148,0.034,0.087,0.214,0.0,0.0,8118.0,4763.0,1.0
mu[99],0.119,0.027,0.07,0.17,0.0,0.0,7199.0,5207.0,1.0
mu[100],0.263,0.041,0.184,0.337,0.0,0.001,12673.0,4725.0,1.0
mu[101],0.358,0.051,0.261,0.45,0.0,0.001,11367.0,4633.0,1.0
mu[102],0.258,0.049,0.173,0.353,0.0,0.001,10986.0,4950.0,1.0
mu[103],0.311,0.045,0.23,0.398,0.0,0.001,10707.0,5032.0,1.0
mu[104],0.297,0.059,0.189,0.41,0.001,0.001,9412.0,4196.0,1.0
mu[105],0.454,0.067,0.322,0.574,0.001,0.001,10541.0,4971.0,1.0
mu[106],0.623,0.054,0.525,0.724,0.001,0.001,10651.0,4866.0,1.0
mu[107],0.593,0.059,0.486,0.704,0.001,0.001,10520.0,4245.0,1.0
mu[108],0.59,0.062,0.472,0.703,0.001,0.001,9254.0,4602.0,1.0
mu[109],0.643,0.049,0.551,0.732,0.0,0.001,10755.0,5015.0,1.0
mu[110],0.574,0.053,0.471,0.668,0.001,0.001,10587.0,4584.0,1.0
mu[111],0.609,0.051,0.51,0.702,0.001,0.001,10433.0,5203.0,1.0
mu[112],0.603,0.058,0.497,0.713,0.001,0.001,10211.0,4492.0,1.0
mu[113],0.654,0.052,0.559,0.751,0.0,0.001,11934.0,5226.0,1.0
mu[114],0.671,0.056,0.568,0.772,0.001,0.001,9523.0,4984.0,1.0
mu[115],0.642,0.053,0.544,0.737,0.001,0.001,9805.0,4729.0,1.0
mu[116],0.649,0.051,0.549,0.74,0.0,0.001,11202.0,4735.0,1.0
mu[117],0.303,0.057,0.2,0.41,0.001,0.001,6452.0,4602.0,1.0
mu[118],0.61,0.05,0.513,0.701,0.0,0.001,11974.0,4901.0,1.0
mu[119],0.581,0.069,0.455,0.713,0.001,0.001,8651.0,4874.0,1.0
mu[120],0.307,0.048,0.218,0.395,0.001,0.001,7366.0,4888.0,1.0
