,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa,9.82,1.037,7.938,11.836,0.012,0.013,7665.0,4848.0,1.0
Intercept,-0.746,0.146,-1.011,-0.463,0.002,0.002,3597.0,4016.0,1.0
model[gemma2:latest],0.519,0.188,0.152,0.846,0.003,0.002,5255.0,4856.0,1.0
model[gemma3:4b],0.991,0.166,0.688,1.306,0.002,0.002,4832.0,4413.0,1.0
model[llama3.2:latest],0.106,0.158,-0.194,0.4,0.002,0.002,4537.0,4786.0,1.0
model[phi3:mini],-0.186,0.186,-0.54,0.155,0.003,0.002,5165.0,4711.0,1.0
model[qwen2.5:3b-instruct],-0.176,0.166,-0.485,0.135,0.002,0.002,4872.0,4755.0,1.0
confidence_z,-0.116,0.065,-0.237,0.006,0.001,0.001,6791.0,5326.0,1.0
log_words_z,-0.201,0.092,-0.383,-0.038,0.002,0.001,3352.0,3792.0,1.0
1|article_id_sigma,0.443,0.087,0.288,0.61,0.002,0.001,2241.0,3217.0,1.0
1|article_id[28980688],0.542,0.248,0.081,1.008,0.003,0.003,7607.0,4084.0,1.0
1|article_id[29115321],-0.828,0.286,-1.372,-0.293,0.004,0.003,4839.0,4729.0,1.0
1|article_id[29123091],0.354,0.226,-0.052,0.8,0.003,0.003,7708.0,4551.0,1.0
1|article_id[29134266],-0.766,0.278,-1.263,-0.239,0.004,0.004,5852.0,5001.0,1.0
1|article_id[29134900],-0.475,0.281,-0.976,0.08,0.004,0.004,6095.0,4891.0,1.0
1|article_id[29134931],0.227,0.252,-0.246,0.711,0.003,0.003,7175.0,4682.0,1.0
1|article_id[29138340],0.15,0.256,-0.335,0.633,0.003,0.003,8495.0,4458.0,1.0
1|article_id[29139994],0.104,0.273,-0.409,0.617,0.004,0.003,6041.0,4660.0,1.0
1|article_id[29142365],-0.198,0.217,-0.592,0.219,0.003,0.003,5405.0,4395.0,1.0
1|article_id[29142442],0.364,0.215,-0.042,0.766,0.002,0.003,8443.0,4740.0,1.0
1|article_id[29143391],-0.738,0.234,-1.183,-0.319,0.003,0.003,5393.0,4622.0,1.0
1|article_id[29144178],0.349,0.259,-0.126,0.842,0.003,0.003,7156.0,4653.0,1.0
1|article_id[29144921],0.252,0.283,-0.3,0.781,0.003,0.004,8192.0,4707.0,1.0
1|article_id[29147062],0.3,0.238,-0.139,0.749,0.003,0.003,7994.0,4480.0,1.0
1|article_id[29147162],0.093,0.238,-0.365,0.529,0.003,0.003,8822.0,4369.0,1.0
1|article_id[29147304],0.155,0.221,-0.248,0.567,0.003,0.003,7098.0,4359.0,1.0
1|article_id[29147331],-0.002,0.231,-0.424,0.441,0.003,0.003,7129.0,4461.0,1.0
1|article_id[29147656],0.023,0.21,-0.381,0.407,0.003,0.003,6990.0,4855.0,1.0
1|article_id[29147820],0.084,0.218,-0.317,0.499,0.003,0.003,5595.0,4552.0,1.0
1|article_id[29147828],-0.52,0.225,-0.94,-0.107,0.003,0.003,6309.0,4528.0,1.0
1|article_id[29148256],0.017,0.215,-0.378,0.43,0.002,0.003,7758.0,4608.0,1.0
1|article_id[29148270],-0.02,0.216,-0.425,0.384,0.002,0.003,7871.0,4999.0,1.0
1|article_id[29148433],-0.1,0.306,-0.687,0.467,0.005,0.003,4227.0,4538.0,1.0
1|article_id[29150791],0.349,0.216,-0.056,0.755,0.002,0.003,8001.0,4914.0,1.0
1|article_id[29150974],-0.055,0.207,-0.422,0.36,0.002,0.003,8091.0,4520.0,1.0
1|article_id[29151828],0.248,0.22,-0.151,0.674,0.003,0.003,7131.0,4180.0,1.0
1|article_id[29152239],-0.423,0.263,-0.911,0.084,0.003,0.003,7465.0,4441.0,1.0
1|article_id[29152429],0.173,0.324,-0.454,0.778,0.004,0.004,8514.0,4537.0,1.0
1|article_id[29153734],0.056,0.253,-0.421,0.52,0.003,0.003,8637.0,4669.0,1.0
1|article_id[29153846],0.165,0.294,-0.407,0.704,0.003,0.004,9942.0,4485.0,1.0
1|article_id[29154335],0.056,0.253,-0.408,0.54,0.003,0.003,5885.0,4783.0,1.0
