overall_bias_rounded,n,share
0.0,71,0.17401960784313725
-0.5,30,0.07352941176470588
-0.25,29,0.07107843137254902
-0.75,20,0.049019607843137254
-0.375,17,0.041666666666666664
0.15,13,0.031862745098039214
-1.0,13,0.031862745098039214
-0.125,11,0.02696078431372549
-0.15,10,0.024509803921568627
-0.1,10,0.024509803921568627
0.375,9,0.022058823529411766
-0.35,9,0.022058823529411766
-0.075,8,0.0196078431372549
-0.225,8,0.0196078431372549
-0.025,7,0.01715686274509804
-0.45,7,0.01715686274509804
0.075,7,0.01715686274509804
-0.438,6,0.014705882352941176
0.125,6,0.014705882352941176
-0.175,5,0.012254901960784314
-0.05,5,0.012254901960784314
0.1,5,0.012254901960784314
-0.625,5,0.012254901960784314
-0.4,5,0.012254901960784314
0.45,5,0.012254901960784314
-0.038,4,0.00980392156862745
-0.55,4,0.00980392156862745
-0.65,4,0.00980392156862745
0.175,4,0.00980392156862745
0.65,4,0.00980392156862745
0.025,4,0.00980392156862745
0.05,4,0.00980392156862745
-0.275,3,0.007352941176470588
-0.8,3,0.007352941176470588
-0.162,3,0.007352941176470588
0.475,3,0.007352941176470588
0.2,3,0.007352941176470588
-0.325,2,0.004901960784313725
-0.3,2,0.004901960784313725
-0.469,2,0.004901960784313725
-0.425,2,0.004901960784313725
0.3,2,0.004901960784313725
0.575,2,0.004901960784313725
0.062,2,0.004901960784313725
-0.005,2,0.004901960784313725
0.5,1,0.0024509803921568627
-0.088,1,0.0024509803921568627
-0.012,1,0.0024509803921568627
-0.638,1,0.0024509803921568627
-0.875,1,0.0024509803921568627
-0.462,1,0.0024509803921568627
0.75,1,0.0024509803921568627
0.275,1,0.0024509803921568627
-0.575,1,0.0024509803921568627
-0.7,1,0.0024509803921568627
-0.825,1,0.0024509803921568627
0.012,1,0.0024509803921568627
-0.688,1,0.0024509803921568627
-0.238,1,0.0024509803921568627
0.425,1,0.0024509803921568627
-0.345,1,0.0024509803921568627
-0.6,1,0.0024509803921568627
-0.112,1,0.0024509803921568627
-0.23,1,0.0024509803921568627
-0.475,1,0.0024509803921568627
-0.538,1,0.0024509803921568627
-0.525,1,0.0024509803921568627
-0.562,1,0.0024509803921568627
-0.2,1,0.0024509803921568627
0.002,1,0.0024509803921568627
-0.85,1,0.0024509803921568627
-0.658,1,0.0024509803921568627
-0.062,1,0.0024509803921568627
