k_samples,wasserstein_mean,ks_mean,quantile_mae_mean,n_models
2,0.20722131529850749,0.5034203980099502,0.19810909514925376,6.0
4,0.16244574004975126,0.3730410447761193,0.14861127694859042,6.0
8,0.1071377681902985,0.25511504975124377,0.10139520107794361,6.0
12,0.0819017931177446,0.205120232172471,0.07348364427860696,6.0
16,0.07722505635883085,0.1834965796019901,0.07391062914593698,6.0
23,0.04114906832298137,0.07867494824016563,0.06666666666666667,1.0
24,0.06019699074074074,0.15788773148148147,0.056927621527777764,5.0
25,0.07200000000000004,0.16,0.08749999999999998,1.0
32,0.049605676663306446,0.14498991935483868,0.04983887096774193,4.0
38,0.04604128856624321,0.15638233514821537,0.032824712643678075,2.0
48,0.03715649857954545,0.09350378787878788,0.029187499999999988,1.0
51,0.0358048128342246,0.0873440285204991,0.00833333333333334,1.0
